"","temp_normals_may","temp_normals_june","temp_normals_july"
"2704111",17.0100002288818,21.0599994659424,22.7399997711182
"2704132",16.4899997711182,20.4400005340576,22.1800003051758
"6302205",17.2000007629395,21.2299995422363,22.8299999237061
"6303105",13.8999996185303,17.7700004577637,19.8400001525879
"6303117",13.9200000762939,17.8299999237061,20.0100002288818
"6390615",15.3999996185303,19.1299991607666,20.9500007629395
"6390627",15.8500003814697,19.6200008392334,21.4599990844727
"6390644",14.2399997711182,18.0300006866455,19.8500003814697
"6390909",16.6700000762939,20.8799991607666,22.75
"6390944",17.9400005340576,22.1000003814697,24.0100002288818
"6391006",16.3199996948242,20.0799999237061,21.7399997711182
"6391028",15.7600002288818,19.5699996948242,21.1900005340576
"6391108",14.3100004196167,18.3899993896484,20.0599994659424
"6391138",15.7600002288818,19.8299999237061,21.4899997711182
"8204206",15.4200000762939,19.7000007629395,21.4099998474121
"8204219",14.3500003814697,18.3099994659424,20.2900009155273
"8204240",15.1999998092651,19.0799999237061,20.9699993133545
"8290243",15.6700000762939,19.7399997711182,21.3299999237061
"8290339",14.3699998855591,17.9500007629395,19.7199993133545
"8290344",14.7399997711182,18.1000003814697,19.6200008392334
"8890009",16.6599998474121,20.9799995422363,22.8899993896484
"8890029",15.3100004196167,20.0599994659424,21.8600006103516
"8890223",17.0599994659424,21.1800003051758,23.2900009155273
"8890236",17.7000007629395,22.2099990844727,24.2299995422363
"8890517",16.1200008392334,20.5200004577637,22.5100002288818
"8890538",14.289999961853,18.5900001525879,20.5400009155273
"8890721",13.9300003051758,18.4200000762939,20.5
"8890745",15.4700002670288,20.2199993133545,22.2199993133545
"8892025",14.3100004196167,18.3400001525879,20.25
"8892036",14.3999996185303,18.4599990844727,20.1700000762939
"8892112",13.9099998474121,18.5100002288818,20.6499996185303
"8892130",12.5900001525879,17.1299991607666,19.2700004577637
"8892217",14.6899995803833,19.4699993133545,21.4899997711182
"8892242",14.4399995803833,19.2600002288818,21.1700000762939
"8892305",16.0599994659424,20.8799991607666,23.0799999237061
"8892346",13.8100004196167,18.3999996185303,20.6100006103516
"Botanical Garden",19.2900009155273,23.9699993133545,25.9099998474121
"Prairie Ridge",19.6399993896484,24.1800003051758,26.1299991607666
"Hubbard Brook",11.8500003814697,16.7700004577637,19.2399997711182
"Singer",14.1499996185303,19.3400001525879,22.0599994659424
